날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,188500,191000,184500,185000,91764,-2.1164021164021163
2023-01-03,185000,185500,178500,184000,190444,-0.5405405405405406
2023-01-04,182000,189500,181000,188500,113141,2.4456521739130435
2023-01-05,187500,191000,186000,187500,85440,-0.5305039787798408
2023-01-06,185000,188500,185000,186500,99160,-0.5333333333333333
2023-01-09,189000,194000,188500,193500,111557,3.753351206434316
2023-01-10,193000,193000,188000,189500,129761,-2.0671834625323
2023-01-11,189500,191000,188500,189500,83699,0.0
2023-01-12,190000,192500,189500,190500,122468,0.5277044854881267
2023-01-13,192000,197000,191500,193000,124206,1.3123359580052494
2023-01-16,194500,196000,192000,194500,73794,0.7772020725388601
2023-01-17,194500,195000,192000,194000,93198,-0.2570694087403599
2023-01-18,194000,194000,190500,192000,68119,-1.0309278350515463
2023-01-19,190000,194500,190000,193000,64432,0.5208333333333333
2023-01-20,192000,194000,190000,194000,63930,0.5181347150259068
2023-01-25,195100,197100,193900,194700,90908,0.36082474226804123
2023-01-26,194400,197900,194400,197900,105859,1.6435541859270673
2023-01-27,197900,206000,197900,205500,231640,3.8403233956543708
2023-01-30,203500,205000,199800,199800,125462,-2.7737226277372264
2023-01-31,199800,202500,197200,198100,166516,-0.8508508508508509
2023-02-01,198400,200500,197800,200500,121055,1.2115093387178193
2023-02-02,201500,202500,197600,198300,145663,-1.0972568578553616
2023-02-03,198300,200500,197100,200500,92857,1.109430156328795
2023-02-06,199500,201000,196900,197400,103899,-1.546134663341646
2023-02-07,197000,198000,195300,195500,126008,-0.9625126646403243
2023-02-08,196200,200500,196200,200500,97624,2.557544757033248
2023-02-09,198300,202000,198200,198900,108297,-0.798004987531172
2023-02-10,197200,199300,196900,199000,95017,0.050276520864756154
2023-02-13,197400,199900,195900,196000,126891,-1.507537688442211
2023-02-14,197400,198600,196400,198000,99782,1.0204081632653061
2023-02-15,196100,197000,186100,186300,403894,-5.909090909090909
2023-02-16,187300,189700,187300,187800,184614,0.8051529790660225
2023-02-17,186100,189300,186100,187100,125816,-0.3727369542066028
2023-02-20,187100,188900,185800,187900,134198,0.427578834847675
2023-02-21,187900,190500,187100,187900,143723,0.0
2023-02-22,186600,186700,184000,184100,194022,-2.0223523150612026
2023-02-23,184200,184700,182200,182500,215606,-0.8690928843020097
2023-02-24,182400,183300,180100,180400,189543,-1.1506849315068493
2023-02-27,179800,180100,177500,178300,188012,-1.164079822616408
2023-02-28,178800,179300,177800,178600,387472,0.16825574873808188
2023-03-02,177600,182300,177400,182100,194639,1.9596864501679732
2023-03-03,181200,183300,181200,181800,126352,-0.16474464579901155
2023-03-06,183300,184600,182100,184400,129870,1.4301430143014302
2023-03-07,183800,184400,181000,181000,182240,-1.843817787418655
2023-03-08,178000,178800,177300,177900,214835,-1.7127071823204418
2023-03-09,178200,178700,174100,174300,260053,-2.0236087689713322
2023-03-10,173000,173000,170800,172300,219685,-1.1474469305794608
2023-03-13,172200,173200,170200,172700,121326,0.2321532211259431
2023-03-14,170900,171500,167500,167600,202252,-2.9530978575564566
2023-03-15,169500,169800,165700,166000,221437,-0.9546539379474941
2023-03-16,165100,165100,162300,162900,200404,-1.8674698795180724
2023-03-17,164500,167700,163100,165000,195238,1.289134438305709
2023-03-20,164900,165700,162600,162900,135172,-1.2727272727272727
2023-03-21,163400,170100,163400,167200,173052,2.6396562308164517
2023-03-22,168500,168900,164300,165300,173965,-1.1363636363636365
2023-03-23,163500,165600,162400,163300,196569,-1.2099213551119177
2023-03-24,162900,165800,162500,165200,119190,1.1635027556644213
2023-03-27,166000,166100,163600,164900,127082,-0.18159806295399517
2023-03-28,165500,166800,164200,166100,124846,0.7277137659187386
2023-03-29,166200,167300,164300,165700,144667,-0.2408187838651415
2023-03-30,167000,174800,165800,172800,331222,4.284852142426071
2023-03-31,173300,173900,170400,172500,139551,-0.1736111111111111
2023-04-03,172800,174800,171100,171800,114028,-0.4057971014492754
2023-04-04,171000,176500,171000,174500,179751,1.571594877764843
2023-04-05,174500,176700,173100,173600,112227,-0.5157593123209169
2023-04-06,172900,172900,168600,169000,184584,-2.6497695852534564
2023-04-07,169400,172000,168100,171100,103723,1.242603550295858
2023-04-10,170500,172900,169600,171300,100477,0.11689070718877849
2023-04-11,171400,173900,169100,172200,189988,0.5253940455341506
2023-04-12,172400,177000,172300,176300,192773,2.380952380952381
2023-04-13,175500,175500,172700,172700,170809,-2.0419739081111743
2023-04-14,173300,175800,173300,174700,134127,1.1580775911986103
2023-04-17,174400,174500,169600,170000,252761,-2.6903262736119062
2023-04-18,170300,171100,168900,170000,170398,0.0
2023-04-19,170000,172200,169900,170500,100654,0.29411764705882354
2023-04-20,170000,170200,167600,168200,167529,-1.3489736070381233
2023-04-21,168200,168200,165700,166900,93143,-0.7728894173602854
2023-04-24,166900,167400,164900,165200,97223,-1.018573996405033
2023-04-25,165000,165200,162200,163100,157184,-1.2711864406779663
2023-04-26,163100,163900,162500,163400,106045,0.18393623543838136
2023-04-27,163000,163100,159900,161900,151529,-0.9179926560587516
2023-04-28,162100,164200,161700,162500,142967,0.3705991352686844
2023-05-02,162600,165500,162500,165400,151674,1.7846153846153845
2023-05-03,164700,165000,163100,163900,97354,-0.9068923821039904
2023-05-04,162400,164100,162100,164100,74895,0.12202562538133008
2023-05-08,162600,167500,162600,166900,127164,1.7062766605728215
2023-05-09,167600,168900,166500,167700,129519,0.4793289394847214
2023-05-10,167500,168800,166200,167000,103488,-0.41741204531902204
2023-05-11,167000,168500,166300,166300,81808,-0.41916167664670656
2023-05-12,166400,166400,164100,164700,99291,-0.9621166566446182
2023-05-15,163800,166100,163000,165500,89023,0.4857316332726169
2023-05-16,165600,168400,163000,163100,108590,-1.4501510574018126
2023-05-17,162200,164500,161200,164100,99821,0.6131207847946045
2023-05-18,164700,167400,163000,167000,125667,1.7672151127361364
2023-05-19,167000,168900,166200,168400,149261,0.8383233532934131
2023-05-22,168400,173300,168100,172600,221979,2.494061757719715
2023-05-23,172700,173900,171300,171900,95215,-0.4055619930475087
2023-05-24,171000,172000,169900,172000,96109,0.058173356602675974
2023-05-25,170700,172100,169800,169800,119031,-1.2790697674418605
2023-05-26,169900,172800,169500,172800,113885,1.76678445229682
2023-05-30,174000,175700,172100,172700,171864,-0.057870370370370364
2023-05-31,171900,173400,167800,167800,405317,-2.837290098436595
2023-06-01,168800,170400,167600,168100,147234,0.17878426698450536
2023-06-02,168700,169700,168000,169600,94651,0.892325996430696
2023-06-05,170300,172800,169800,169800,98425,0.1179245283018868
2023-06-07,171300,176200,170700,174800,245565,2.944640753828033
2023-06-08,174000,174100,170700,170700,197806,-2.345537757437071
2023-06-09,172100,173600,171700,173100,120494,1.4059753954305798
2023-06-12,172500,173700,170800,171000,81420,-1.2131715771230502
2023-06-13,171900,172400,170200,170700,120660,-0.17543859649122806
2023-06-14,171300,171700,168500,168600,139542,-1.2302284710017575
2023-06-15,169100,170000,166700,167200,142627,-0.8303677342823249
2023-06-16,167300,167900,165400,166000,188293,-0.7177033492822966
2023-06-19,166100,166200,163400,164600,150261,-0.8433734939759037
2023-06-20,165400,165400,163100,163500,143262,-0.6682867557715675
2023-06-21,163800,163800,161000,161200,176356,-1.4067278287461773
2023-06-22,161200,161600,160000,161000,131371,-0.12406947890818859
2023-06-23,160800,161800,157700,158200,202492,-1.7391304347826086
2023-06-26,155300,155400,148500,151600,488189,-4.171934260429835
2023-06-27,151000,155600,150900,155100,194299,2.308707124010554
2023-06-28,156100,156800,152000,153100,180841,-1.2894906511927788
2023-06-29,152000,152400,148200,148300,250860,-3.1352057478772046
2023-06-30,148000,149500,146500,148700,157146,0.26972353337828725
2023-07-03,149900,151900,149100,149700,127387,0.6724949562878278
2023-07-04,149600,151000,147000,147700,149664,-1.3360053440213762
2023-07-05,147800,148700,146500,147200,154402,-0.3385240352064997
2023-07-06,146400,147200,143100,143500,235923,-2.5135869565217392
2023-07-07,142800,142800,139500,140200,245180,-2.2996515679442506
2023-07-10,139900,143800,139600,143100,129716,2.0684736091298146
2023-07-11,143500,145600,142600,145100,123071,1.397624039133473
2023-07-12,145200,148400,144400,148100,137252,2.067539627842867
2023-07-13,149400,150100,147100,147500,261581,-0.4051316677920324
2023-07-14,147600,150100,147500,149400,138093,1.2881355932203389
2023-07-17,148000,149400,146500,148100,103044,-0.8701472556894244
2023-07-18,149100,150000,146800,147600,106017,-0.337609723160027
2023-07-19,148000,148500,146100,147000,155051,-0.40650406504065045
2023-07-20,146100,149400,145400,147800,118112,0.5442176870748299
2023-07-21,147100,148300,144100,148200,135133,0.2706359945872801
2023-07-24,148000,149200,145000,148200,175185,0.0
2023-07-25,148300,149700,146900,148300,173904,0.06747638326585695
2023-07-26,148000,149200,145200,146200,251610,-1.416048550236008
2023-07-27,147000,150300,146800,148400,226702,1.5047879616963065
2023-07-28,147000,150800,145700,150700,126451,1.5498652291105122
2023-07-31,151500,157400,150800,152800,253239,1.39349701393497
2023-08-01,153500,158700,153500,157600,223194,3.1413612565445024
2023-08-02,156000,158900,154800,155200,125353,-1.5228426395939088
2023-08-03,154600,156600,154100,155500,109758,0.19329896907216496
2023-08-04,156100,156500,154700,155500,76807,0.0
2023-08-07,154600,155600,153400,154200,84050,-0.8360128617363344
2023-08-08,155600,155600,151500,153100,97847,-0.7133592736705577
2023-08-09,152100,153200,151200,152000,84349,-0.7184846505551926
2023-08-10,152000,157000,151200,151200,232014,-0.5263157894736842
2023-08-11,151600,154200,151000,151100,96116,-0.06613756613756613
2023-08-14,150800,152600,148300,148500,126541,-1.7207147584381206
2023-08-16,147800,148200,143500,143500,190275,-3.3670033670033668
2023-08-17,142900,143400,140500,141500,171210,-1.3937282229965158
2023-08-18,140300,140400,138700,138800,187844,-1.9081272084805656
2023-08-21,139200,142100,139200,140100,101597,0.9365994236311239
2023-08-22,140900,143300,139800,142000,113896,1.3561741613133478
2023-08-23,140900,142900,140700,141900,87609,-0.07042253521126761
2023-08-24,142900,144300,142300,143200,65490,0.9161381254404511
2023-08-25,140700,143100,140500,142500,84278,-0.4888268156424581
2023-08-28,143900,145300,142400,144500,68492,1.4035087719298245
2023-08-29,144500,146000,143800,144600,56749,0.06920415224913494
2023-08-30,146000,146600,145300,145800,66563,0.8298755186721992
2023-08-31,145800,146700,144300,144500,262335,-0.8916323731138546
2023-09-01,145700,154400,145700,149300,239578,3.3217993079584778
2023-09-04,149100,151000,148000,150700,64523,0.9377093101138647
2023-09-05,149700,150600,148700,149300,67247,-0.92899800928998
2023-09-06,149200,150000,148000,148300,63669,-0.6697923643670463
2023-09-07,147500,148800,145400,146000,92411,-1.5509103169251517
2023-09-08,146200,147400,144500,146900,107296,0.6164383561643836
2023-09-11,146900,148600,146500,147300,68688,0.2722940776038121
2023-09-12,147900,148500,145800,146100,90229,-0.8146639511201629
2023-09-13,145700,148300,145700,146600,90943,0.34223134839151265
2023-09-14,146500,148400,146100,147800,138511,0.8185538881309686
2023-09-15,149200,152500,148300,151900,228745,2.774018944519621
2023-09-18,152000,152100,150100,150300,102472,-1.053324555628703
2023-09-19,150400,151500,149900,151000,73253,0.4657351962741184
2023-09-20,150600,153200,150500,152600,122999,1.0596026490066226
2023-09-21,151700,152600,149800,149900,94646,-1.7693315858453473
2023-09-22,148100,150300,145600,149300,93133,-0.40026684456304207
2023-09-25,149000,150300,148200,149500,59709,0.13395847287340923
2023-09-26,148200,150500,146100,146200,85306,-2.2073578595317724
2023-09-27,145100,148700,144500,146200,90407,0.0
2023-10-04,144900,145100,138600,138800,268331,-5.06155950752394
2023-10-05,139500,140500,136000,136000,215489,-2.0172910662824206
2023-10-06,136000,136600,134700,134900,134798,-0.8088235294117648
2023-10-10,137500,141200,136300,137800,141191,2.149740548554485
2023-10-11,137900,148000,137800,147300,190580,6.894049346879536
2023-10-12,148300,163100,146200,159100,788364,8.010862186014936
2023-10-13,157300,157800,152400,153500,274175,-3.519798868636078
2023-10-16,153500,153500,150600,151800,131379,-1.1074918566775245
2023-10-17,152000,153200,150900,152000,97757,0.13175230566534915
2023-10-18,151000,152800,149600,149900,84767,-1.381578947368421
2023-10-19,148000,150500,146700,149300,117789,-0.40026684456304207
2023-10-20,148100,148800,142300,145200,206525,-2.7461486939048894
2023-10-23,144400,144400,141400,141600,157491,-2.479338842975207
2023-10-24,142500,143700,139300,141700,97398,0.07062146892655367
2023-10-25,142100,145000,141900,143000,80396,0.9174311926605505
2023-10-26,141700,141800,139100,140800,135689,-1.5384615384615385
2023-10-27,142200,142300,139000,139500,98397,-0.9232954545454546
2023-10-30,139000,143700,139000,143400,76705,2.795698924731183
2023-10-31,144500,146600,141000,142000,92614,-0.9762900976290098
2023-11-01,145000,148800,143800,144900,158505,2.0422535211267605
2023-11-02,147400,149700,146400,148900,150198,2.7605244996549345
2023-11-03,150400,155700,150200,155500,208087,4.432505036937542
2023-11-06,157300,160800,156100,160800,225211,3.408360128617363
2023-11-07,159000,161000,156400,159900,193782,-0.5597014925373134
2023-11-08,161800,161800,157100,159900,125723,0.0
2023-11-09,158600,161900,158600,159600,164418,-0.18761726078799248
2023-11-10,159100,160200,157100,159600,82496,0.0
2023-11-13,159000,159300,154200,155600,118882,-2.506265664160401
2023-11-14,157500,160700,156700,158600,125092,1.9280205655526992
2023-11-15,161900,164700,161900,163800,177563,3.278688524590164
2023-11-16,163000,164600,162500,164600,100759,0.4884004884004884
2023-11-17,164900,164900,161400,163000,90086,-0.9720534629404617
2023-11-20,163000,164400,161100,163700,80679,0.4294478527607362
2023-11-21,164500,164600,161800,164000,99448,0.1832620647525962
2023-11-22,162700,164500,162200,163500,107312,-0.3048780487804878
2023-11-23,163500,164300,161800,163300,85112,-0.12232415902140673
2023-11-24,163500,163500,160400,160700,111928,-1.5921616656460504
2023-11-27,161500,162900,159900,161800,95290,0.6845052893590542
2023-11-28,162600,167500,161500,166600,210522,2.966625463535229
2023-11-29,165000,166500,162300,164700,126308,-1.1404561824729893
2023-11-30,165200,166300,162400,163600,252803,-0.6678809957498483
2023-12-01,163500,166800,163500,165200,123422,0.9779951100244498
2023-12-04,166600,168500,164500,167300,123006,1.2711864406779663
2023-12-05,165900,169500,165100,168500,131618,0.7172743574417215
2023-12-06,168500,170500,168200,168900,118792,0.2373887240356083
2023-12-07,167300,169800,166300,169700,101941,0.4736530491415038
2023-12-08,170200,171000,168500,170800,103716,0.648202710665881
2023-12-11,171500,172000,169500,170800,75748,0.0
2023-12-12,171600,172300,169900,171500,116788,0.4098360655737705
2023-12-13,171100,173100,171100,172000,108752,0.2915451895043732
2023-12-14,173600,174900,173200,174000,212418,1.1627906976744187
2023-12-15,174600,177800,174100,177600,209465,2.0689655172413794
2023-12-18,177500,177500,174500,174500,98657,-1.7454954954954953
2023-12-19,174200,176700,174200,175700,89769,0.6876790830945558
2023-12-20,176000,178200,175800,177200,111449,0.8537279453614115
2023-12-21,176000,177600,174200,175300,90934,-1.072234762979684
2023-12-22,175400,176300,173000,173500,99700,-1.026811180832858
2023-12-26,175200,176100,173500,175000,101768,0.8645533141210375
2023-12-27,174300,177300,173300,176200,93612,0.6857142857142857
2023-12-28,176500,178000,175300,178000,101232,1.0215664018161181
2024-01-02,176900,180600,176900,180500,119328,1.4044943820224718
2024-01-03,179500,179900,176600,176800,105686,-2.0498614958448753
2024-01-04,175900,176000,168800,171500,204489,-2.997737556561086
2024-01-05,170100,171900,169200,170400,113701,-0.641399416909621
2024-01-08,171300,171300,166500,166500,93810,-2.2887323943661975
2024-01-09,168400,170300,167700,168900,87406,1.4414414414414414
2024-01-10,168500,170300,163900,164400,112195,-2.664298401420959
2024-01-11,165200,165500,163000,163800,92997,-0.36496350364963503
2024-01-12,164100,165200,162000,163400,66053,-0.2442002442002442
2024-01-15,164000,164000,160500,161500,81963,-1.1627906976744187
2024-01-16,160100,161900,157800,158200,97604,-2.043343653250774
2024-01-17,158000,158000,152800,153000,140177,-3.286978508217446
2024-01-18,152500,154500,150300,151200,120898,-1.1764705882352942
2024-01-19,152000,154500,151100,153800,97363,1.7195767195767195
2024-01-22,154600,157900,154100,156500,68134,1.7555266579973992
2024-01-23,158300,159200,155300,158900,60468,1.5335463258785942
2024-01-24,158000,159200,155300,158000,65762,-0.5663939584644431
2024-01-25,158000,160800,155700,160800,64633,1.7721518987341773
2024-01-26,159100,161200,159000,160200,65350,-0.3731343283582089
2024-01-29,160200,180000,160000,176100,548505,9.925093632958802
2024-01-30,179200,179800,173200,174600,316103,-0.8517887563884157
2024-01-31,173800,184800,170800,183500,415821,5.097365406643757
2024-02-01,182600,198300,180900,197000,984636,7.3569482288828345
2024-02-02,195600,199500,189800,196800,570909,-0.10152284263959391
2024-02-05,195600,197900,188800,193200,341217,-1.8292682926829267
2024-02-06,193700,198300,191200,192500,217600,-0.36231884057971014
2024-02-07,193000,198200,191800,197700,281077,2.7012987012987013
2024-02-08,194400,198600,191900,196000,275862,-0.8598887202832575
2024-02-13,195900,199500,194700,195500,189920,-0.25510204081632654
2024-02-14,192000,195400,188300,188700,220967,-3.4782608695652173
2024-02-15,191100,191100,185300,186700,160922,-1.0598834128245893
2024-02-16,188200,194300,186100,194000,190210,3.9100160685591856
2024-02-19,195800,209500,195500,207500,487914,6.958762886597938
2024-02-20,208000,208500,195600,199000,246579,-4.096385542168675
2024-02-21,198900,207000,195700,200500,191406,0.7537688442211055
2024-02-22,202500,205500,199900,204500,145844,1.99501246882793
2024-02-23,206500,212000,201000,204000,260652,-0.24449877750611246
2024-02-26,199800,199900,187200,190200,436018,-6.764705882352941
2024-02-27,188800,189300,181600,185500,253583,-2.4710830704521554
2024-02-28,185500,195800,183600,193600,205607,4.366576819407008
2024-02-29,194500,196700,188800,191800,372756,-0.9297520661157025
2024-03-04,192400,194500,190000,193200,162199,0.7299270072992701
2024-03-05,191300,199100,191200,193000,204672,-0.10351966873706005
2024-03-06,192800,193000,187300,189400,171256,-1.865284974093264
2024-03-07,190200,195600,187800,191900,162483,1.3199577613516367
2024-03-08,193400,194700,188700,189700,117141,-1.1464304325169359
2024-03-11,187700,189500,184100,184400,124410,-2.79388508170796
2024-03-12,186200,186200,178300,180400,254731,-2.1691973969631237
2024-03-13,181000,181300,178300,179200,185342,-0.6651884700665188
2024-03-14,180400,191400,180200,188900,313186,5.412946428571429
2024-03-15,188900,192700,187000,187300,204573,-0.8470089994706195
2024-03-18,189300,189300,183700,184200,102543,-1.6550987720234915
2024-03-19,182400,185300,182300,182700,99398,-0.8143322475570033
2024-03-20,185000,186700,182900,183000,92703,0.16420361247947454
2024-03-21,186700,191500,184800,191000,196151,4.371584699453552
2024-03-22,189000,196600,189000,191200,138851,0.10471204188481677
2024-03-25,191500,192600,187500,187900,84198,-1.7259414225941423
2024-03-26,190000,191700,188200,188400,95394,0.2660989888238425
2024-03-27,186500,188900,185100,185200,92587,-1.6985138004246285
2024-03-28,186000,187200,182600,182600,117312,-1.4038876889848813
2024-03-29,181000,182200,178300,178600,157851,-2.190580503833516
2024-04-01,179900,180000,174400,177000,184373,-0.8958566629339306
2024-04-02,175200,178700,175100,178000,108193,0.5649717514124294
2024-04-03,176600,177700,174400,175500,121539,-1.4044943820224718
2024-04-04,177800,181600,176400,179200,133828,2.1082621082621085
2024-04-05,176500,179200,175400,175700,81260,-1.953125
2024-04-08,175200,175700,171000,171700,132535,-2.2766078542970973
2024-04-09,171900,172700,166200,166700,152537,-2.9120559114735003
2024-04-11,161500,164500,160200,162600,239818,-2.459508098380324
2024-04-12,161000,163600,159100,161400,124502,-0.7380073800738007
2024-04-15,160600,166900,159500,164900,99908,2.168525402726146
2024-04-16,163000,163800,159800,160000,118532,-2.9714978775015157
2024-04-17,160100,162400,156400,157000,217062,-1.875
2024-04-18,157000,159400,156300,156800,113415,-0.12738853503184713
2024-04-19,155100,157500,153400,155500,118931,-0.8290816326530612
2024-04-22,158800,164500,156600,162100,150373,4.244372990353698
2024-04-23,163700,164000,160700,160700,82638,-0.863664404688464
2024-04-24,162500,164200,161500,162000,97195,0.8089607965152459
2024-04-25,160400,165600,160300,161300,99545,-0.43209876543209874
2024-04-26,162200,164500,160400,163400,56165,1.301921884686919
2024-04-29,168500,169800,164400,168900,112819,3.3659730722154224
2024-04-30,167400,169500,166000,166000,113834,-1.7169923031379515
2024-05-02,164800,166500,160900,162000,107561,-2.4096385542168677
2024-05-03,162600,162700,160200,160500,93507,-0.9259259259259258
2024-05-07,161800,164900,160400,164900,122740,2.7414330218068534
2024-05-08,165200,165700,163000,164800,72644,-0.06064281382656155
2024-05-09,164800,165000,160000,160000,151160,-2.912621359223301
2024-05-10,161500,164000,161400,163500,80778,2.1875
2024-05-13,164100,164100,161100,161800,74390,-1.039755351681957
2024-05-14,162200,163300,161500,162800,78090,0.6180469715698393
2024-05-16,164900,166800,163100,163400,130682,0.36855036855036855
2024-05-17,163100,163800,156900,156900,256782,-3.9779681762545898
2024-05-20,156800,158500,155400,156300,120933,-0.3824091778202677
2024-05-21,155100,155900,150900,151400,200165,-3.134996801023673
2024-05-22,151500,152800,150600,151500,115261,0.06605019815059446
2024-05-23,150500,152000,149600,150100,155096,-0.9240924092409241
2024-05-24,149300,151500,148500,148800,126956,-0.866089273817455
2024-05-27,148900,150800,148900,150300,89644,1.0080645161290323
2024-05-28,150300,150800,148600,149000,122461,-0.8649367930805056
2024-05-29,148100,149400,144400,144700,273090,-2.8859060402684564
2024-05-30,143300,167700,143200,158100,1335950,9.260539046302695
2024-05-31,164500,180900,157000,176200,3630128,11.448450347881089
2024-06-03,176200,192900,176000,178800,2907456,1.4755959137343928
2024-06-04,175400,178300,166100,166100,1050117,-7.102908277404922
2024-06-05,168400,171000,161500,164000,548064,-1.2642986152919928
2024-06-07,166400,186300,166400,182000,1847930,10.975609756097562
2024-06-10,184300,194700,180200,188600,1615800,3.626373626373627
2024-06-11,191300,195700,181200,181400,824979,-3.8176033934252387
2024-06-12,182300,191400,180100,188300,669143,3.8037486218302092
