날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,584481,603083,584481,589377,145145,1.8611909963222077
2023-01-03,600147,605042,583503,592315,208134,0.498492475953422
2023-01-04,583503,593294,568818,590357,228448,-0.33056735014308264
2023-01-05,599167,599167,569796,570776,375301,-3.316806610237534
2023-01-06,565880,581545,561964,573713,228914,0.5145626305240585
2023-01-09,579586,589377,573712,587419,232851,2.3889993777376493
2023-01-10,593293,607000,591335,599168,254281,2.0001055464668323
2023-01-11,605041,612874,599167,610916,220621,1.9607188634907073
2023-01-12,617769,619727,608957,615811,245990,0.801255819130617
2023-01-13,615810,624622,615810,617769,159010,0.3179546971392197
2023-01-16,616790,623643,608957,610916,132782,-1.1093143229912799
2023-01-17,608958,610916,598188,603084,136849,-1.2820093106089872
2023-01-18,607000,607000,593293,600147,132005,-0.4869968362616153
2023-01-19,598189,604063,591335,597210,153595,-0.4893801018750406
2023-01-20,600146,607000,595251,606021,155343,1.4753604259808106
2023-01-25,621685,638329,618748,635392,259466,4.846531720847958
2023-01-26,644203,661826,630497,657910,285639,3.5439539685737307
2023-01-27,665741,674553,653993,672595,270394,2.2320682160173884
2023-01-30,679448,679448,665741,672595,328815,0.0
2023-01-31,682385,689238,667699,670637,448111,-0.2911112928285224
2023-02-01,682385,705882,676511,704903,406175,5.109470548150489
2023-02-02,706861,713714,697070,700987,240292,-0.5555374285539996
2023-02-03,707840,708819,687280,699029,196890,-0.2793204438884031
2023-02-06,692176,700987,686302,686302,200542,-1.820668384287347
2023-02-07,680427,701966,675532,696092,211640,1.4264857162007396
2023-02-08,700008,717631,694134,714694,274695,2.672347908035145
2023-02-09,710777,723505,707840,722526,254296,1.0958536100764802
2023-02-10,711756,720568,702945,719589,203176,-0.40649056227734365
2023-02-13,713715,713715,702945,707841,221027,-1.6325986083722794
2023-02-14,711756,724484,709798,723505,203925,2.212926349279005
2023-02-15,723505,727421,708819,710778,276438,-1.759075611087691
2023-02-16,714693,722526,710777,718610,207386,1.101891167143609
2023-02-17,706861,712735,687281,688260,245854,-4.223431346627517
2023-02-20,679448,681406,663783,677490,265665,-1.5648156220033127
2023-02-21,678469,685322,672594,677490,181130,0.0
2023-02-22,667699,675532,662804,669658,225888,-1.156031823347946
2023-02-23,665742,673574,653993,666721,229195,-0.4385820821971812
2023-02-24,666721,681406,663783,665742,203811,-0.1468380327003349
2023-02-27,654972,664763,653014,663784,170737,-0.294107927695714
2023-02-28,668679,688260,666721,681407,278561,2.6549299169609393
2023-03-02,678469,698050,678469,695113,319458,2.01142635752201
2023-03-03,696092,724484,690218,715673,334844,2.9577924740294024
2023-03-06,732315,764624,727420,764624,770377,6.839855632390771
2023-03-07,762666,784205,751897,776373,612166,1.5365722237334951
2023-03-08,769520,769520,738191,738191,477532,-4.91799689066982
2023-03-09,740148,741127,714693,716652,414859,-2.917808534647537
2023-03-10,706861,725463,705882,721547,238482,0.6830372342503753
2023-03-13,722526,729379,706861,722526,217506,0.13568069716872222
2023-03-14,712736,717631,696092,709799,298012,-1.7614591032018223
2023-03-15,712735,732316,710777,718610,242622,1.2413373363445144
2023-03-16,708819,723505,700987,723505,219476,0.6811761595302042
2023-03-17,729378,731336,690217,705882,351885,-2.4357813698592268
2023-03-20,694133,708819,692175,700008,182581,-0.832150416075208
2023-03-21,709798,716651,693154,701966,221881,0.2797110890161255
2023-03-22,709798,719589,704903,716652,246683,2.0921241199716225
2023-03-23,705882,735253,705882,730358,300933,1.912504255901051
2023-03-24,725462,725462,697070,703924,272124,-3.6193209357602707
2023-03-27,710778,722526,705882,707841,258859,0.5564521169899023
2023-03-28,704902,709798,695112,706861,174995,-0.13844917149472832
2023-03-29,700987,719589,700987,719589,271980,1.800636900324109
2023-03-30,720567,720567,705882,705882,209442,-1.9048373446509048
2023-03-31,706861,719589,699029,719589,253576,1.9418259709129855
2023-04-03,734274,734274,714693,729379,227418,1.3604988403102325
2023-04-04,724484,734274,708819,710778,213104,-2.550251652433097
2023-04-05,714693,770498,711756,761687,480097,7.162433277338353
2023-04-06,747980,749938,725462,729379,411460,-4.241637312964511
2023-04-07,726442,731337,715672,722526,264633,-0.9395663982648252
