날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,31650,32250,30550,31000,187968,-0.4815409309791332
2023-01-03,31750,31750,30100,31000,217136,0.0
2023-01-04,30500,31550,30500,31050,204576,0.16129032258064516
2023-01-05,31150,31600,30650,30800,245109,-0.8051529790660225
2023-01-06,30300,31450,30300,31400,222285,1.948051948051948
2023-01-09,31600,32050,31200,31850,261138,1.4331210191082804
2023-01-10,31950,32250,31700,32150,196517,0.9419152276295133
2023-01-11,32250,32350,31700,31850,157379,-0.9331259720062209
2023-01-12,32000,32200,31650,31650,222762,-0.6279434850863422
2023-01-13,32000,33450,32000,33200,375003,4.897314375987362
2023-01-16,33300,33300,32500,32500,175441,-2.108433734939759
2023-01-17,32550,33250,32250,32650,159374,0.46153846153846156
2023-01-18,32650,33450,32400,33250,267689,1.8376722817764166
2023-01-19,32850,33550,32850,33050,184068,-0.6015037593984963
2023-01-20,32800,33400,32700,33000,137465,-0.15128593040847202
2023-01-25,33050,33400,32750,33050,199722,0.15151515151515152
2023-01-26,33000,33900,32950,33800,190622,2.26928895612708
2023-01-27,33600,34100,33550,33700,236070,-0.2958579881656805
2023-01-30,33500,33550,32750,32750,211707,-2.8189910979228485
2023-01-31,32900,32900,32300,32450,249170,-0.9160305343511451
2023-02-01,32500,33700,32500,33500,346446,3.2357473035439135
2023-02-02,33550,34100,32900,33400,345078,-0.2985074626865672
2023-02-03,34500,37000,34200,36650,1558517,9.73053892215569
2023-02-06,36250,36400,35350,35550,426029,-3.0013642564802185
2023-02-07,35550,36100,35350,35550,334558,0.0
2023-02-08,35800,37600,35750,37350,527082,5.063291139240507
2023-02-09,36900,37200,36500,36550,300530,-2.14190093708166
2023-02-10,36350,37700,36300,37400,267920,2.3255813953488373
2023-02-13,36900,37850,36800,37000,228637,-1.06951871657754
2023-02-14,37450,37650,37000,37250,195502,0.6756756756756757
2023-02-15,37300,37950,36900,37100,196032,-0.4026845637583893
2023-02-16,37250,37850,37100,37700,206470,1.6172506738544474
2023-02-17,37100,37750,36950,37600,224573,-0.2652519893899204
2023-02-20,37500,38700,37100,38250,436290,1.7287234042553192
2023-02-21,38150,39050,38000,38550,286865,0.7843137254901961
2023-02-22,38000,38850,37850,38150,309062,-1.0376134889753565
2023-02-23,38150,38800,37900,38400,196909,0.655307994757536
2023-02-24,38000,38400,37600,37750,222346,-1.6927083333333333
2023-02-27,37200,37950,37000,37450,160096,-0.7947019867549668
2023-02-28,37500,38500,37200,37200,495660,-0.6675567423230975
2023-03-02,37350,39500,37250,38600,383496,3.763440860215054
2023-03-03,38500,38900,37850,38150,110480,-1.16580310880829
2023-03-06,38600,38600,37750,37850,171081,-0.7863695937090431
2023-03-07,37250,37300,35400,36750,593334,-2.906208718626156
2023-03-08,36150,36700,35900,36550,277429,-0.5442176870748299
2023-03-09,37000,37800,36700,37050,400213,1.3679890560875512
2023-03-10,36500,37050,36300,36700,174184,-0.9446693657219973
2023-03-13,35700,36350,33850,34500,942513,-5.994550408719346
2023-03-14,33800,34700,33400,33700,540298,-2.318840579710145
2023-03-15,34100,35300,34100,34800,365351,3.2640949554896146
2023-03-16,34150,34550,33850,34150,254846,-1.8678160919540232
2023-03-17,34350,34500,33350,34000,417904,-0.43923865300146414
2023-03-20,34100,34350,33400,33500,245981,-1.4705882352941175
2023-03-21,33700,33750,33450,33550,181184,0.1492537313432836
2023-03-22,33700,33800,32950,33300,418880,-0.7451564828614009
2023-03-23,33000,33300,32350,32950,580551,-1.0510510510510511
2023-03-24,32950,33150,32400,32650,304681,-0.9104704097116844
2023-03-27,32750,33500,32750,33200,282747,1.6845329249617151
2023-03-28,33450,34000,33250,33850,379445,1.957831325301205
2023-03-29,33950,34400,33450,33600,286926,-0.7385524372230428
2023-03-30,33500,34250,33250,33950,273494,1.0416666666666665
2023-03-31,34350,34800,34000,34800,418389,2.503681885125184
2023-04-03,34500,34650,33750,33800,334284,-2.8735632183908044
2023-04-04,33800,34050,33300,33700,292054,-0.2958579881656805
2023-04-05,33900,34350,33350,33650,227698,-0.1483679525222552
2023-04-06,33650,33800,32950,33100,352668,-1.634472511144131
2023-04-07,33200,33250,32900,33000,295061,-0.3021148036253776
2023-04-10,33050,33050,32350,32850,199932,-0.45454545454545453
2023-04-11,32900,33500,32500,33500,319741,1.97869101978691
2023-04-12,33900,35800,33700,34700,686415,3.582089552238806
2023-04-13,34750,35100,34300,34700,491397,0.0
2023-04-14,34650,36250,34600,35700,654544,2.881844380403458
2023-04-17,35850,36450,35250,35500,363523,-0.5602240896358543
2023-04-18,35500,36150,35000,35750,411281,0.7042253521126761
2023-04-19,35850,36550,35450,36100,397751,0.9790209790209791
2023-04-20,35850,36200,35550,35850,282597,-0.6925207756232686
2023-04-21,35550,36050,35100,35350,195985,-1.394700139470014
2023-04-24,34950,35450,34850,35450,175997,0.2828854314002829
2023-04-25,35400,35450,33950,34550,250583,-2.538787023977433
2023-04-26,34400,34900,34000,34400,202419,-0.43415340086830684
2023-04-27,33900,34400,33850,34150,170269,-0.7267441860465116
2023-04-28,34150,34700,34000,34500,209363,1.0248901903367496
2023-05-02,34250,34950,34150,34850,179549,1.0144927536231882
2023-05-03,34250,34850,34000,34600,188761,-0.7173601147776184
2023-05-04,34400,34950,34150,34450,161698,-0.4335260115606936
2023-05-08,34200,36050,34200,35600,338071,3.3381712626995643
2023-05-09,35600,36100,35200,35500,273939,-0.2808988764044944
2023-05-10,35500,36350,35300,36150,213290,1.8309859154929577
2023-05-11,36300,36350,35800,36000,271224,-0.4149377593360996
2023-05-12,36050,36200,34550,34900,395052,-3.0555555555555554
2023-05-15,35600,37400,35500,37000,618774,6.017191977077363
2023-05-16,37000,37050,34950,35300,570505,-4.594594594594595
2023-05-17,35100,36200,35100,36100,263924,2.26628895184136
2023-05-18,35850,37150,35850,36750,285910,1.8005540166204987
2023-05-19,36800,36900,36400,36850,227271,0.27210884353741494
2023-05-22,37000,37200,36400,36750,186087,-0.27137042062415195
2023-05-23,37000,37000,36250,36450,272674,-0.8163265306122449
2023-05-24,36450,36950,36150,36750,150023,0.823045267489712
2023-05-25,36200,36600,36150,36300,267743,-1.2244897959183674
2023-05-26,36100,36350,35450,35650,171277,-1.790633608815427
2023-05-30,36000,36000,34600,35050,276403,-1.6830294530154277
2023-05-31,34750,35450,34500,34500,562787,-1.5691868758915835
2023-06-01,35100,35600,34850,34950,271718,1.3043478260869565
2023-06-02,35050,35450,35000,35250,210625,0.8583690987124464
2023-06-05,35500,36100,35500,35750,143366,1.4184397163120568
2023-06-07,36000,36100,35250,35400,224685,-0.9790209790209791
2023-06-08,35400,36200,35300,35700,253931,0.847457627118644
2023-06-09,36050,36050,35300,35750,208379,0.1400560224089636
2023-06-12,36000,36300,35650,35800,122015,0.13986013986013987
2023-06-13,36200,36200,35050,35200,251643,-1.675977653631285
2023-06-14,35150,35650,34950,35150,122967,-0.14204545454545456
2023-06-15,35000,35200,34500,34650,175301,-1.422475106685633
2023-06-16,35250,35350,34500,34650,247320,0.0
2023-06-19,34650,34700,33900,34250,188466,-1.1544011544011543
2023-06-20,34200,34450,33700,33750,149109,-1.4598540145985401
2023-06-21,33800,34350,33450,34200,254625,1.3333333333333335
2023-06-22,34400,34500,33700,34150,156982,-0.14619883040935672
2023-06-23,34050,34250,33450,33500,184420,-1.903367496339678
2023-06-26,33450,33900,33300,33650,110580,0.44776119402985076
2023-06-27,33550,34250,33500,33900,207142,0.7429420505200593
2023-06-28,34100,34200,33550,33600,244616,-0.8849557522123894
